#Type,Desired Mood,Flavour1,Flavour2,Flavour3
Barley Tea,Happy,Nutty,Smokey,Bitter
Black Tea,Energetic,Bitter,,
Chaga Tea,Adventerous ,Mushroom,,
Chai Tea,Homely,Cinnamon,Cardamom,Ginger
Chamomile Tea,Relaxed,Bitter,Sweet,Floral
Chrysanthemum Tea,Relaxed,Sweet,,
Dandelion Tea,Adventerous ,Floral,,
Essiac Tea,Adventerous ,Bitter,Grassy,
Green Tea,Homely,Bitter,,
Hibiscus Tea,Healthy,Tart,Floral,
Matcha Tea,Healthy,Bitter,Grassy,
Moringa Tea,Healthy,Grassy,,
Nettle Tea,Healthy,Grassy,Earthy,
Oolong Tea,Homely,Bitter,,
Peppermint Tea,Refreshed,Minty,,
Pu-erh Tea,Energetic,Bitter,,
Pau d'arco Tea,Happy,Fruity,Herby,
Raspberry Leaf Tea,Healthy,Grassy,,
Rooibos Tea,Happy,Fruity,Spicy,Nutty
Rose Tea,Happy,Sweet,Tart,Sour
Senna Tea,Adventerous ,Bitter,,
Sencha Tea,Adventerous ,Mild,,
Spearmint Tea,Refreshed,Minty,,
White Tea,Relaxed,Mild,,
Yerba Mate Tea,Energetic,Woodsy,,
Earl Grey,Adventerous ,Strong,,
